State,Date Local,CO Mean
Massachusetts,5/5/03,0.573913
Massachusetts,5/6/03,0.545833
Massachusetts,5/7/03,0.595652
Massachusetts,5/8/03,0.566667
Massachusetts,5/9/03,0.581818
Massachusetts,5/10/03,0.5375
Massachusetts,5/11/03,0.386957
Massachusetts,5/12/03,0.4375
Massachusetts,5/13/03,0.495652
Massachusetts,5/14/03,0.470833
Massachusetts,5/15/03,0.833333
Massachusetts,5/16/03,0.508333
Massachusetts,5/17/03,0.5625
Massachusetts,5/18/03,0.831818
Massachusetts,5/19/03,0.756522
Massachusetts,5/20/03,0.508696
Massachusetts,5/21/03,0.540909
Massachusetts,5/22/03,0.620833
Massachusetts,5/23/03,0.741667
Massachusetts,5/24/03,0.645455
Massachusetts,5/25/03,0.691667
Massachusetts,5/26/03,0.808696
Massachusetts,5/27/03,0.85
Massachusetts,5/28/03,0.826087
Massachusetts,5/29/03,0.665217
Massachusetts,5/30/03,0.75
Massachusetts,5/31/03,0.765217
Massachusetts,6/1/03,0.66087
Massachusetts,6/2/03,0.631818
Massachusetts,6/3/03,0.630435
Massachusetts,6/4/03,0.686957
Massachusetts,6/5/03,0.783333
Massachusetts,6/6/03,0.75
Massachusetts,6/7/03,0.926087
Massachusetts,6/8/03,0.672727
Massachusetts,6/9/03,0.725
Massachusetts,6/10/03,0.7
Massachusetts,6/11/03,0.718182
Massachusetts,6/12/03,0.8
Massachusetts,6/13/03,0.634783
Massachusetts,6/14/03,0.604167
Massachusetts,6/15/03,0.752174
Massachusetts,6/16/03,0.4875
Massachusetts,6/17/03,0.509091
Massachusetts,6/18/03,0.56875
Massachusetts,6/19/03,0.695833
Massachusetts,6/20/03,0.640909
Massachusetts,6/21/03,0.852174
Massachusetts,6/22/03,0.552174
Massachusetts,6/23/03,0.641667
Massachusetts,6/24/03,0.979167
Massachusetts,6/25/03,0.7875
Massachusetts,6/26/03,0.740909
Massachusetts,6/27/03,0.817391
Massachusetts,6/28/03,0.569565
Massachusetts,6/29/03,0.627273
Massachusetts,6/30/03,0.591667
Massachusetts,7/1/03,0.552174
Massachusetts,7/2/03,0.5875
Massachusetts,7/3/03,0.554167
Massachusetts,7/4/03,0.520833
Massachusetts,7/5/03,0.554545
Massachusetts,7/6/03,0.508696
Massachusetts,7/7/03,0.654167
Massachusetts,7/8/03,0.572727
Massachusetts,7/9/03,0.533333
Massachusetts,7/10/03,0.55
Massachusetts,7/11/03,0.545833
Massachusetts,7/12/03,0.5125
Massachusetts,7/13/03,0.478261
