,date,open,high,low,close,volume,Name,RealName,dat,value
7370,2018-10-01,3.65,3.8373,3.65,3.75,25160,FUV,Arcimoto,1,24.172185430463575
7393,2018-11-01,3.14,3.1845,2.951,3.02,35635,FUV,Arcimoto,1,-94.96998647559278
7495,2014-04-01,59.2565,60.0572,59.0629,60.0396,1049499,HOG,Harley Davidson,1,-6.521580051161255
7516,2014-05-01,65.117,65.2314,64.0787,64.2283,1489552,HOG,Harley Davidson,1,3.3786045852835818
7558,2014-07-01,61.9702,62.4119,61.7935,62.1292,1184558,HOG,Harley Davidson,1,12.871064086446566
7580,2014-08-01,55.0002,55.5391,54.8235,55.0444,2626259,HOG,Harley Davidson,1,7.646305332016546
7622,2014-10-01,51.6934,51.9684,51.0813,51.1345,2805330,HOG,Harley Davidson,1,-16.147795158219587
7664,2014-12-01,61.8245,61.9665,60.9196,60.9817,1157028,HOG,Harley Davidson,1,13.010902338545122
7747,2015-04-01,54.3368,54.6949,53.7013,53.9609,1733246,HOG,Harley Davidson,1,6.520627663711546
7768,2015-05-01,50.7472,50.8278,50.4518,50.6577,2044349,HOG,Harley Davidson,1,5.416743835670604
7788,2015-06-01,48.3157,48.3157,47.7937,48.0547,2347974,HOG,Harley Davidson,1,-4.830682518086342
7810,2015-07-01,51.2229,51.25899999999999,50.3499,50.4939,1928251,HOG,Harley Davidson,1,2.653246267442987
7853,2015-09-01,49.3148,49.8908,48.8468,49.1888,2150306,HOG,Harley Davidson,1,0.4638319339402024
7874,2015-10-01,49.6497,49.7402,48.0927,48.9617,2672532,HOG,Harley Davidson,1,10.568200551466852
7916,2015-12-01,44.3543,44.8341,43.9922,44.2819,1956008,HOG,Harley Davidson,1,21.102952236397698
7957,2016-02-01,36.3195,36.766,35.6453,36.5655,3584092,HOG,Harley Davidson,1,-9.776523217453747
7977,2016-03-01,40.2426,40.6289,39.8196,40.5277,1656350,HOG,Harley Davidson,1,-14.692175567698628
7999,2016-04-01,47.0294,47.7835,46.588,47.5076,2442990,HOG,Harley Davidson,1,10.86074850536946
8041,2016-06-01,42.8719,42.9229,42.4084,42.8534,1323400,HOG,Harley Davidson,1,-14.783366078317512
8063,2016-07-01,42.0933,50.7696,42.0284,50.2876,23131679,HOG,Harley Davidson,1,5.013490147598079
8083,2016-08-01,48.9435,49.3421,47.8404,47.8868,3531600,HOG,Harley Davidson,1,-2.3254580648582652
8106,2016-09-01,49.0177,49.3792,48.5078,49.0269,1110510,HOG,Harley Davidson,1,-6.734275751470982
8148,2016-11-01,53.5188,53.5374,51.993,52.5669,1552717,HOG,Harley Davidson,1,-9.247714658126668
8169,2016-12-01,57.0649,58.1848,56.8503,57.9235,2122018,HOG,Harley Davidson,1,9.055051398877884
8210,2017-02-01,53.5927,54.0807,52.5133,53.114,4032754,HOG,Harley Davidson,1,-3.716191719237179
8229,2017-03-01,54.3516,55.5891,54.1155,55.163999999999994,2471347,HOG,Harley Davidson,1,3.564415173827653
8271,2017-05-01,54.21,54.4461,52.9725,53.2654,2171061,HOG,Harley Davidson,1,5.048564751358332
8293,2017-06-01,50.7721,51.3333,50.5248,50.7055,1450453,HOG,Harley Davidson,1,10.281132009813303
8335,2017-08-01,45.8262,46.0544,45.2555,45.9784,1584452,HOG,Harley Davidson,1,2.047909587466178
8358,2017-09-01,44.9416,45.2931,44.9036,45.0557,1222191,HOG,Harley Davidson,1,-1.663112727177489
8400,2017-11-01,45.5397,46.1244,45.5397,45.8177,877830,HOG,Harley Davidson,1,-4.457285132790596
8421,2017-12-01,48.099,48.1661,46.8433,47.9552,2514588,HOG,Harley Davidson,1,2.037767966381181
8462,2018-02-01,46.1189,47.2099,46.06100000000001,46.9975,3681127,HOG,Harley Davidson,1,7.088252249542583
8481,2018-03-01,44.4316,44.5872,43.8186,43.8867,2721356,HOG,Harley Davidson,1,10.753681341560346
8523,2018-05-01,39.9563,39.966,39.0418,39.6255,2061243,HOG,Harley Davidson,1,-0.7516480654016482
8545,2018-06-01,40.4654,40.5189,39.2877,39.9256,2581131,HOG,Harley Davidson,1,-4.64139253718152
8587,2018-08-01,42.2124,42.2222,41.2506,41.8689,2474121,HOG,Harley Davidson,1,-7.330941477741808
8629,2018-10-01,45.1712,45.7452,44.9225,45.1811,1974538,HOG,Harley Davidson,1,16.187407422646473
8652,2018-11-01,38.0056,39.2823,37.961,38.8864,2773029,HOG,Harley Davidson,1,206.18971504161388
8739,2014-12-01,12.6501,12.84,12.6302,12.7001,1288969,FCAU,Fiat Chrysler,1,-22.310717977892374
8822,2015-04-01,16.4372,16.4372,16.1674,16.3473,4536316,FCAU,Fiat Chrysler,1,11.672564316259754
8843,2015-05-01,14.7485,14.9184,14.3888,14.6386,7622850,FCAU,Fiat Chrysler,1,-10.067394469598765
8863,2015-06-01,16.0375,16.2773,15.9076,16.2773,5829337,FCAU,Fiat Chrysler,1,11.346503769170779
8885,2015-07-01,14.7385,14.7885,14.5287,14.6186,4916670,FCAU,Fiat Chrysler,1,7.179201431148001
8928,2015-09-01,13.6194,13.8092,13.5295,13.6394,5619688,FCAU,Fiat Chrysler,1,0.9615455790369815
8949,2015-10-01,13.4195,13.5394,13.1497,13.5095,7543001,FCAU,Fiat Chrysler,1,-5.055907343505122
8991,2015-12-01,14.3288,14.3288,14.069,14.2289,11512498,FCAU,Fiat Chrysler,1,102.98002853067048
9032,2016-02-01,6.84,7.05,6.79,7.01,5892956,FCAU,Fiat Chrysler,1,-4.49591280653951
9052,2016-03-01,7.12,7.385,7.02,7.34,6723472,FCAU,Fiat Chrysler,1,-5.045278137128079
9074,2016-04-01,7.76,7.76,7.6,7.73,4877508,FCAU,Fiat Chrysler,1,9.801136363636369
9116,2016-06-01,7.07,7.08,6.915,7.04,7569823,FCAU,Fiat Chrysler,1,12.820512820512816
9138,2016-07-01,6.28,6.35,6.19,6.24,4760665,FCAU,Fiat Chrysler,1,-1.4218009478672962
9158,2016-08-01,6.41,6.41,6.3,6.33,2993977,FCAU,Fiat Chrysler,1,-7.048458149779729
9181,2016-09-01,6.82,6.8975,6.72,6.81,5127508,FCAU,Fiat Chrysler,1,-5.939226519337025
9223,2016-11-01,7.44,7.46,7.13,7.24,14935938,FCAU,Fiat Chrysler,1,-6.459948320413436
9244,2016-12-01,7.72,7.8,7.595,7.74,17118219,FCAU,Fiat Chrysler,1,-29.508196721311474
9285,2017-02-01,11.04,11.08,10.8,10.98,9160485,FCAU,Fiat Chrysler,1,-0.5434782608695536
9304,2017-03-01,11.03,11.155,11.0,11.04,5620898,FCAU,Fiat Chrysler,1,-3.242769500438221
9346,2017-05-01,11.39,11.5,11.345,11.41,4066838,FCAU,Fiat Chrysler,1,2.423698384201073
9368,2017-06-01,10.67,11.155,10.59,11.14,18382225,FCAU,Fiat Chrysler,1,-7.705053852526923
9410,2017-08-01,12.01,12.095,11.96,12.07,2346198,FCAU,Fiat Chrysler,1,-23.896595208070615
9433,2017-09-01,15.51,16.03,15.43,15.86,9520877,FCAU,Fiat Chrysler,1,-9.783845278725819
9475,2017-11-01,17.64,17.66,17.51,17.58,2322819,FCAU,Fiat Chrysler,1,2.867173785839663
9496,2017-12-01,17.1,17.14,16.785,17.09,4373890,FCAU,Fiat Chrysler,1,-28.850957535387177
